drug_1,drug_2,severity
codeine,dexketoprofen,1
fluoxetine,omeprazole,1
sertraline,enterogermina,1
clarithromycin,pantoprazole,1
rivaroxaban,apixaban,1
tramadol,vitamin d,1
paracetamol,probiotic,1
paracetamol,enterogermina,1
atorvastatin,paracetamol,1
naproxen,fluoxetine,2
apixaban,paracetamol,1
codeine,clonazepam,3
enterogermina,azithromycin,1
paroxetine,pravastatin,1
paracetamol,pravastatin,1
enterogermina,vitamin d,1
naproxen,morphine,1
pravastatin,edoxaban,1
diclofenac,vitamin c,1
rosuvastatin,vitamin d,1
azithromycin,fluoxetine,1
clarithromycin,pravastatin,3
folic acid,lorazepam,1
dexketoprofen,b12,1
diclofenac,oxycodone,1
dabigatran,esomeprazole,1
tramadol,paroxetine,2
omeprazole,pantoprazole,1
dexketoprofen,clonazepam,1
dexketoprofen,acetaminophen,1
vitamin d,edoxaban,1
warfarin,simvastatin,1
naproxen,morphine,1
diclofenac,azithromycin,1
azithromycin,codeine,1
vitamin c,warfarin,1
tramadol,lorazepam,3
pantoprazole,apixaban,1
edoxaban,clonazepam,1
omeprazole,dexketoprofen,1
ibuprofen,ketoprofen,1
escitalopram,enterogermina,1
rosuvastatin,vitamin d,1
clonazepam,paracetamol,1
erythromycin,esomeprazole,1
atorvastatin,alprazolam,1
oxycodone,erythromycin,1
paracetamol,acetaminophen,1
paroxetine,diazepam,2
ibuprofen,probiotic,1
probiotic,simvastatin,1
probiotic,acetaminophen,1
clonazepam,atorvastatin,1
clarithromycin,clarithromycin,1
rosuvastatin,codeine,1
clarithromycin,ketoprofen,1
vitamin c,alprazolam,1
probiotic,lorazepam,1
warfarin,acetaminophen,1
omeprazole,vitamin d,1
esomeprazole,diazepam,1
dexketoprofen,alprazolam,1
tramadol,clonazepam,3
folic acid,esomeprazole,1
pantoprazole,omeprazole,1
clarithromycin,dabigatran,1
vitamin c,omeprazole,1
enterogermina,warfarin,1
clarithromycin,rosuvastatin,3
ketoprofen,esomeprazole,1
morphine,paroxetine,2
pravastatin,edoxaban,1
b12,clarithromycin,1
atorvastatin,apixaban,1
oxycodone,paroxetine,2
edoxaban,clarithromycin,1
vitamin d,paroxetine,1
sertraline,escitalopram,1
clarithromycin,naproxen,1
omeprazole,esomeprazole,1
amiodarone,clonazepam,3
edoxaban,atorvastatin,1
erythromycin,amiodarone,3
rivaroxaban,diclofenac,1
pravastatin,vitamin d,1
sertraline,diclofenac,2
azithromycin,oxycodone,1
erythromycin,ibuprofen,1
rivaroxaban,escitalopram,1
edoxaban,dabigatran,1
paroxetine,warfarin,3
rosuvastatin,alprazolam,1
lorazepam,tramadol,3
alprazolam,diclofenac,1
oxycodone,acetaminophen,1
folic acid,edoxaban,1
dabigatran,oxycodone,1
clarithromycin,erythromycin,3
codeine,ibuprofen,1
clonazepam,morphine,3
sertraline,clarithromycin,1
azithromycin,esomeprazole,1
edoxaban,oxycodone,1
diazepam,enterogermina,1
folic acid,ketoprofen,1
diazepam,erythromycin,1
dabigatran,clarithromycin,1
simvastatin,rivaroxaban,1
morphine,alprazolam,3
vitamin d,diclofenac,1
enterogermina,clarithromycin,1
amiodarone,paroxetine,3
vitamin d,erythromycin,1
sertraline,folic acid,1
alprazolam,clarithromycin,1
vitamin c,simvastatin,1
diclofenac,tramadol,1
esomeprazole,rosuvastatin,2
lorazepam,erythromycin,1
lorazepam,b12,1
naproxen,diazepam,1
b12,morphine,1
vitamin c,atorvastatin,1
rosuvastatin,edoxaban,1
ketoprofen,amiodarone,1
diclofenac,vitamin d,1
b12,morphine,1
probiotic,amiodarone,1
escitalopram,pantoprazole,1
clarithromycin,naproxen,1
diazepam,pantoprazole,1
codeine,clarithromycin,1
acetaminophen,clarithromycin,1
lorazepam,erythromycin,1
clonazepam,tramadol,3
amiodarone,clonazepam,3
pantoprazole,esomeprazole,1
rosuvastatin,vitamin c,1
enterogermina,apixaban,1
atorvastatin,morphine,1
clarithromycin,morphine,1
diazepam,paroxetine,2
clarithromycin,codeine,1
alprazolam,erythromycin,1
simvastatin,oxycodone,1
edoxaban,warfarin,1
dexketoprofen,folic acid,1
acetaminophen,codeine,1
vitamin d,esomeprazole,1
diclofenac,paroxetine,2
warfarin,diclofenac,3
lorazepam,probiotic,1
rosuvastatin,edoxaban,1
tramadol,edoxaban,1
dabigatran,codeine,1
amiodarone,clarithromycin,3
escitalopram,clarithromycin,1
dexketoprofen,simvastatin,1
omeprazole,naproxen,1
ibuprofen,apixaban,1
azithromycin,ketoprofen,1
vitamin c,rivaroxaban,1
morphine,paracetamol,1
pantoprazole,clarithromycin,1
pantoprazole,sertraline,1
pantoprazole,omeprazole,1
ibuprofen,diclofenac,1
folic acid,naproxen,1
alprazolam,ibuprofen,1
naproxen,fluoxetine,2
ketoprofen,azithromycin,1
edoxaban,acetaminophen,1
warfarin,amiodarone,3
edoxaban,fluoxetine,1
clonazepam,ibuprofen,1
warfarin,folic acid,1
amiodarone,apixaban,1
enterogermina,probiotic,1
pravastatin,clonazepam,1
erythromycin,apixaban,1
vitamin c,clonazepam,1
atorvastatin,erythromycin,3
dexketoprofen,b12,1
rosuvastatin,clarithromycin,3
rosuvastatin,amiodarone,1
pravastatin,azithromycin,3
ketoprofen,rivaroxaban,1
dabigatran,clarithromycin,1
pantoprazole,b12,1
naproxen,dexketoprofen,1
pantoprazole,azithromycin,1
paroxetine,acetaminophen,1
simvastatin,dabigatran,1
escitalopram,lorazepam,2
ketoprofen,diclofenac,1
ibuprofen,dexketoprofen,1
amiodarone,codeine,1
lorazepam,folic acid,1
morphine,esomeprazole,1
fluoxetine,azithromycin,1
fluoxetine,amiodarone,3
b12,escitalopram,1
acetaminophen,alprazolam,1
morphine,azithromycin,1
escitalopram,fluoxetine,1
fluoxetine,codeine,2
azithromycin,simvastatin,3
pantoprazole,dabigatran,1
dexketoprofen,apixaban,1
vitamin c,paracetamol,1
esomeprazole,vitamin c,1
azithromycin,paroxetine,1
clonazepam,acetaminophen,1
amiodarone,diazepam,3
acetaminophen,morphine,1
simvastatin,warfarin,1
folic acid,alprazolam,1
pantoprazole,atorvastatin,2
probiotic,rivaroxaban,1
esomeprazole,acetaminophen,1
apixaban,ibuprofen,1
paroxetine,sertraline,1
pravastatin,pantoprazole,2
dabigatran,warfarin,1
morphine,folic acid,1
erythromycin,pravastatin,3
apixaban,b12,1
apixaban,amiodarone,1
amiodarone,rivaroxaban,1
acetaminophen,apixaban,1
ibuprofen,fluoxetine,2
pantoprazole,alprazolam,1
ketoprofen,simvastatin,1
diazepam,amiodarone,3
codeine,pantoprazole,1
morphine,pravastatin,1
pravastatin,diazepam,1
clonazepam,enterogermina,1
naproxen,rosuvastatin,1
rivaroxaban,rosuvastatin,1
escitalopram,dabigatran,1
paroxetine,rosuvastatin,1
codeine,diclofenac,1
probiotic,rivaroxaban,1
ketoprofen,pantoprazole,1
azithromycin,pantoprazole,1
paracetamol,diazepam,1
simvastatin,pravastatin,1
diclofenac,dexketoprofen,1
escitalopram,sertraline,1
simvastatin,rosuvastatin,1
diclofenac,folic acid,1
clonazepam,pravastatin,1
erythromycin,diazepam,1
dexketoprofen,rosuvastatin,1
clarithromycin,paroxetine,1
clonazepam,azithromycin,1
rivaroxaban,dexketoprofen,1
folic acid,rivaroxaban,1
atorvastatin,azithromycin,3
edoxaban,morphine,1
clarithromycin,rivaroxaban,1
folic acid,oxycodone,1
ketoprofen,azithromycin,1
amiodarone,diazepam,3
diazepam,paroxetine,2
paracetamol,rosuvastatin,1
atorvastatin,erythromycin,3
vitamin c,sertraline,1
omeprazole,naproxen,1
ketoprofen,fluoxetine,2
pantoprazole,codeine,1
escitalopram,diclofenac,2
clonazepam,esomeprazole,1
ibuprofen,erythromycin,1
acetaminophen,lorazepam,1
paracetamol,dabigatran,1
erythromycin,dabigatran,1
paracetamol,atorvastatin,1
clonazepam,morphine,3
acetaminophen,ketoprofen,1
edoxaban,ketoprofen,1
esomeprazole,enterogermina,1
sertraline,esomeprazole,1
edoxaban,paroxetine,1
simvastatin,acetaminophen,1
codeine,rivaroxaban,1
probiotic,dabigatran,1
ibuprofen,paracetamol,1
esomeprazole,lorazepam,1
paracetamol,b12,1
dabigatran,omeprazole,1
omeprazole,erythromycin,1
apixaban,vitamin d,1
erythromycin,folic acid,1
sertraline,alprazolam,2
azithromycin,paracetamol,1
sertraline,rivaroxaban,1
erythromycin,alprazolam,1
dexketoprofen,probiotic,1
tramadol,vitamin d,1
enterogermina,diazepam,1
vitamin d,sertraline,1
erythromycin,escitalopram,1
sertraline,amiodarone,3
folic acid,apixaban,1
dexketoprofen,apixaban,1
diazepam,paroxetine,2
enterogermina,omeprazole,1
azithromycin,diclofenac,1
folic acid,enterogermina,1
esomeprazole,warfarin,1
clarithromycin,atorvastatin,3
naproxen,escitalopram,2
probiotic,fluoxetine,1
tramadol,sertraline,2
diazepam,pravastatin,1
pravastatin,diclofenac,1
sertraline,fluoxetine,1
ketoprofen,diclofenac,1
enterogermina,amiodarone,1
ibuprofen,clarithromycin,1
sertraline,erythromycin,1
ketoprofen,pantoprazole,1
warfarin,rivaroxaban,1
lorazepam,diclofenac,1
vitamin c,atorvastatin,1
b12,folic acid,1
rosuvastatin,naproxen,1
dabigatran,diazepam,1
probiotic,naproxen,1
ibuprofen,lorazepam,1
ketoprofen,folic acid,1
fluoxetine,ibuprofen,2
ibuprofen,edoxaban,1
vitamin d,paroxetine,1
lorazepam,morphine,3
erythromycin,lorazepam,1
ibuprofen,diclofenac,1
diazepam,probiotic,1
clonazepam,clarithromycin,1
lorazepam,b12,1
vitamin d,amiodarone,1
morphine,naproxen,1
ibuprofen,amiodarone,1
esomeprazole,alprazolam,1
ketoprofen,edoxaban,1
atorvastatin,diclofenac,1
omeprazole,ketoprofen,1
edoxaban,acetaminophen,1
rivaroxaban,probiotic,1
atorvastatin,azithromycin,3
folic acid,ketoprofen,1
lorazepam,b12,1
dabigatran,paracetamol,1
ketoprofen,azithromycin,1
omeprazole,simvastatin,2
dexketoprofen,amiodarone,1
morphine,rivaroxaban,1
warfarin,azithromycin,3
folic acid,vitamin c,1
b12,clarithromycin,1
sertraline,codeine,2
folic acid,morphine,1
simvastatin,oxycodone,1
amiodarone,atorvastatin,1
vitamin c,naproxen,1
dexketoprofen,atorvastatin,1
clarithromycin,erythromycin,3
escitalopram,warfarin,3
escitalopram,clonazepam,2
acetaminophen,paracetamol,1
escitalopram,vitamin c,1
vitamin c,b12,1
fluoxetine,simvastatin,1
diclofenac,naproxen,1
clarithromycin,b12,1
naproxen,esomeprazole,1
clarithromycin,diclofenac,1
sertraline,dexketoprofen,2
rivaroxaban,warfarin,1
clarithromycin,diazepam,1
rivaroxaban,warfarin,1
rivaroxaban,alprazolam,1
apixaban,fluoxetine,1
b12,dexketoprofen,1
erythromycin,paroxetine,1
rivaroxaban,tramadol,1
diclofenac,warfarin,3
morphine,fluoxetine,2
erythromycin,esomeprazole,1
alprazolam,fluoxetine,2
dabigatran,paracetamol,1
escitalopram,sertraline,1
amiodarone,enterogermina,1
paroxetine,atorvastatin,1
esomeprazole,warfarin,1
atorvastatin,codeine,1
morphine,dexketoprofen,1
omeprazole,fluoxetine,1
diclofenac,atorvastatin,1
b12,clarithromycin,1
erythromycin,morphine,1
oxycodone,atorvastatin,1
escitalopram,clarithromycin,1
fluoxetine,probiotic,1
azithromycin,rosuvastatin,3
edoxaban,clarithromycin,1
simvastatin,fluoxetine,1
pravastatin,alprazolam,1
apixaban,lorazepam,1
edoxaban,alprazolam,1
paracetamol,alprazolam,1
diclofenac,azithromycin,1
escitalopram,ketoprofen,2
paracetamol,diclofenac,1
naproxen,diclofenac,1
escitalopram,rivaroxaban,1
fluoxetine,azithromycin,1
warfarin,dexketoprofen,3
dabigatran,diazepam,1
vitamin c,naproxen,1
clarithromycin,ibuprofen,1
amiodarone,rosuvastatin,1
omeprazole,amiodarone,1
dexketoprofen,erythromycin,1
paracetamol,clarithromycin,1
clonazepam,morphine,3
ketoprofen,diazepam,1
ketoprofen,dexketoprofen,1
b12,vitamin c,1
erythromycin,escitalopram,1
pantoprazole,dexketoprofen,1
paroxetine,clarithromycin,1
fluoxetine,erythromycin,1
rivaroxaban,dexketoprofen,1
warfarin,morphine,1
vitamin c,acetaminophen,1
diclofenac,paracetamol,1
apixaban,tramadol,1
rosuvastatin,dabigatran,1
diazepam,pantoprazole,1
b12,edoxaban,1
paroxetine,tramadol,2
diclofenac,pantoprazole,1
diclofenac,naproxen,1
amiodarone,rosuvastatin,1
paroxetine,clarithromycin,1
vitamin d,b12,1
codeine,erythromycin,1
simvastatin,folic acid,1
dabigatran,alprazolam,1
ketoprofen,vitamin d,1
ketoprofen,warfarin,3
alprazolam,lorazepam,1
esomeprazole,alprazolam,1
clarithromycin,paracetamol,1
folic acid,clonazepam,1
ibuprofen,omeprazole,1
edoxaban,dexketoprofen,1
acetaminophen,paracetamol,1
vitamin c,simvastatin,1
naproxen,azithromycin,1
dabigatran,fluoxetine,1
edoxaban,ketoprofen,1
dabigatran,alprazolam,1
apixaban,warfarin,1
dabigatran,folic acid,1
apixaban,ketoprofen,1
pantoprazole,esomeprazole,1
naproxen,alprazolam,1
dabigatran,erythromycin,1
clarithromycin,clonazepam,1
fluoxetine,pravastatin,1
vitamin d,rivaroxaban,1
erythromycin,apixaban,1
rivaroxaban,dabigatran,1
pantoprazole,codeine,1
simvastatin,clonazepam,1
omeprazole,tramadol,1
naproxen,fluoxetine,2
omeprazole,dexketoprofen,1
dabigatran,sertraline,1
naproxen,erythromycin,1
simvastatin,b12,1
acetaminophen,enterogermina,1
ketoprofen,b12,1
rosuvastatin,rivaroxaban,1
probiotic,esomeprazole,1
codeine,vitamin d,1
esomeprazole,morphine,1
apixaban,dexketoprofen,1
oxycodone,acetaminophen,1
dabigatran,azithromycin,1
paracetamol,rivaroxaban,1
vitamin d,folic acid,1
erythromycin,pravastatin,3
dexketoprofen,ibuprofen,1
simvastatin,sertraline,1
paracetamol,tramadol,1
pantoprazole,codeine,1
omeprazole,pantoprazole,1
morphine,edoxaban,1
tramadol,rosuvastatin,1
vitamin c,morphine,1
vitamin c,apixaban,1
azithromycin,alprazolam,1
clonazepam,codeine,3
diazepam,edoxaban,1
ketoprofen,lorazepam,1
paroxetine,enterogermina,1
naproxen,erythromycin,1
tramadol,clarithromycin,1
warfarin,ketoprofen,3
simvastatin,paroxetine,1
acetaminophen,dabigatran,1
vitamin c,rosuvastatin,1
tramadol,vitamin c,1
azithromycin,warfarin,3
dabigatran,azithromycin,1
vitamin d,folic acid,1
morphine,erythromycin,1
simvastatin,lorazepam,1
b12,clonazepam,1
fluoxetine,alprazolam,2
paracetamol,codeine,1
tramadol,clarithromycin,1
rivaroxaban,azithromycin,1
clonazepam,dabigatran,1
clonazepam,lorazepam,1
apixaban,lorazepam,1
alprazolam,b12,1
escitalopram,omeprazole,1
paroxetine,b12,1
b12,folic acid,1
dexketoprofen,dabigatran,1
paracetamol,probiotic,1
clarithromycin,paroxetine,1
oxycodone,omeprazole,1
paroxetine,tramadol,2
codeine,ketoprofen,1
acetaminophen,erythromycin,1
b12,naproxen,1
erythromycin,simvastatin,3
rosuvastatin,oxycodone,1
esomeprazole,probiotic,1
morphine,ketoprofen,1
vitamin c,tramadol,1
atorvastatin,clonazepam,1
lorazepam,naproxen,1
pravastatin,dabigatran,1
naproxen,erythromycin,1
paracetamol,esomeprazole,1
probiotic,dexketoprofen,1
erythromycin,edoxaban,1
edoxaban,omeprazole,1
vitamin c,codeine,1
acetaminophen,oxycodone,1
edoxaban,b12,1
vitamin c,acetaminophen,1
vitamin d,morphine,1
vitamin d,apixaban,1
rivaroxaban,ibuprofen,1
vitamin c,alprazolam,1
rivaroxaban,simvastatin,1
paracetamol,vitamin d,1
paracetamol,edoxaban,1
clarithromycin,enterogermina,1
lorazepam,amiodarone,3
morphine,clarithromycin,1
enterogermina,dexketoprofen,1
vitamin c,paracetamol,1
apixaban,diazepam,1
pravastatin,folic acid,1
acetaminophen,amiodarone,1
tramadol,lorazepam,3
vitamin d,sertraline,1
dexketoprofen,folic acid,1
ibuprofen,simvastatin,1
diazepam,oxycodone,3
omeprazole,erythromycin,1
clonazepam,rosuvastatin,1
ketoprofen,acetaminophen,1
fluoxetine,folic acid,1
lorazepam,apixaban,1
clonazepam,oxycodone,3
clonazepam,folic acid,1
ketoprofen,paroxetine,2
apixaban,codeine,1
pantoprazole,clarithromycin,1
omeprazole,rivaroxaban,1
dexketoprofen,azithromycin,1
oxycodone,b12,1
clonazepam,rosuvastatin,1
dabigatran,rosuvastatin,1
dexketoprofen,apixaban,1
fluoxetine,rosuvastatin,1
omeprazole,b12,1
ketoprofen,clarithromycin,1
sertraline,esomeprazole,1
vitamin d,paracetamol,1
esomeprazole,codeine,1
simvastatin,folic acid,1
enterogermina,rivaroxaban,1
b12,lorazepam,1
morphine,b12,1
omeprazole,azithromycin,1
probiotic,alprazolam,1
edoxaban,clarithromycin,1
paracetamol,warfarin,1
vitamin d,erythromycin,1
erythromycin,clonazepam,1
clarithromycin,naproxen,1
clarithromycin,fluoxetine,1
pantoprazole,paracetamol,1
warfarin,codeine,1
diazepam,alprazolam,1
atorvastatin,omeprazole,2
escitalopram,ibuprofen,2
folic acid,ketoprofen,1
b12,sertraline,1
paracetamol,warfarin,1
fluoxetine,naproxen,2
rivaroxaban,clonazepam,1
vitamin c,sertraline,1
folic acid,esomeprazole,1
paracetamol,dabigatran,1
oxycodone,dexketoprofen,1
warfarin,vitamin d,1
pravastatin,oxycodone,1
erythromycin,esomeprazole,1
dexketoprofen,lorazepam,1
enterogermina,clonazepam,1
vitamin c,rosuvastatin,1
probiotic,naproxen,1
acetaminophen,alprazolam,1
vitamin c,paracetamol,1
clonazepam,codeine,3
edoxaban,amiodarone,1
probiotic,oxycodone,1
rosuvastatin,enterogermina,1
acetaminophen,simvastatin,1
erythromycin,ketoprofen,1
vitamin d,paroxetine,1
pantoprazole,morphine,1
dexketoprofen,probiotic,1
warfarin,pravastatin,1
paracetamol,diclofenac,1
paroxetine,sertraline,1
naproxen,pravastatin,1
lorazepam,naproxen,1
naproxen,azithromycin,1
morphine,probiotic,1
erythromycin,simvastatin,3
codeine,amiodarone,1
tramadol,fluoxetine,2
paroxetine,diazepam,2
atorvastatin,enterogermina,1
oxycodone,paroxetine,2
escitalopram,b12,1
rosuvastatin,paroxetine,1
tramadol,escitalopram,2
erythromycin,rosuvastatin,3
azithromycin,esomeprazole,1
omeprazole,folic acid,1
warfarin,naproxen,3
ibuprofen,paracetamol,1
omeprazole,morphine,1
erythromycin,dexketoprofen,1
clarithromycin,acetaminophen,1
atorvastatin,pravastatin,1
diazepam,rosuvastatin,1
b12,naproxen,1
rosuvastatin,fluoxetine,1
enterogermina,diazepam,1
naproxen,ketoprofen,1
clarithromycin,apixaban,1
amiodarone,clarithromycin,3
edoxaban,pantoprazole,1
ibuprofen,vitamin d,1
dexketoprofen,codeine,1
ketoprofen,acetaminophen,1
folic acid,clarithromycin,1
folic acid,lorazepam,1
sertraline,alprazolam,2
vitamin d,erythromycin,1
tramadol,clarithromycin,1
oxycodone,pantoprazole,1
oxycodone,amiodarone,1
clarithromycin,lorazepam,1
ketoprofen,clarithromycin,1
esomeprazole,rosuvastatin,2
diclofenac,clonazepam,1
pravastatin,edoxaban,1
erythromycin,b12,1
rivaroxaban,alprazolam,1
naproxen,diazepam,1
codeine,paroxetine,2
folic acid,omeprazole,1
erythromycin,lorazepam,1
naproxen,enterogermina,1
ibuprofen,alprazolam,1
erythromycin,paracetamol,1
ibuprofen,paroxetine,2
rosuvastatin,dabigatran,1
probiotic,erythromycin,1
clonazepam,diazepam,1
azithromycin,erythromycin,1
acetaminophen,edoxaban,1
tramadol,clonazepam,3
pravastatin,oxycodone,1
acetaminophen,simvastatin,1
dabigatran,edoxaban,1
simvastatin,vitamin c,1
warfarin,ibuprofen,3
sertraline,ibuprofen,2
ibuprofen,clarithromycin,1
folic acid,ketoprofen,1
